original question,answer,generated answer,retrieved chunks id,context_id,contextualized query,latency
What happens if my PPT score is below 50.00% for Architecture?,Scores lower than 50.00% are classified for 'Realignment' to another program.,"Based on my data from the Student Handbook 2021, if your Program Preparedness Test (PPT) score for Architecture is below 50.00%, you will fall under the Realignment category. This means that you may not be able to enroll in the Bachelor of Science in Architecture program directly. Instead, you will be advised to apply for a different program.

However, there is an opportunity for you to improve your skills and potentially meet the requirements for your first-choice program. Students who score lower than the cut-off in the PPT may be conditionally admitted. These conditionally admitted students must undergo an Enhancement Program, requiring them to enroll in and pass one to two enhancement courses during their first year.

I would recommend reaching out to the Office of Student Affairs (OSAS) or the College of Architecture and Fine Arts (CAFA) for more information about the Enhancement Program and the specific courses you may need to take. They can provide you with detailed guidance and help you navigate the process.

Remember, every step you take towards your educational goals is valuable, and there are resources available to help you succeed. Good luck on your academic journey!","['earist_handbook_2021_program_cutoff_scores', 'earist_handbook_2021_screening_process_levels', 'subject curriculum_earist_bs_architecture']",earist_handbook_2021_program_cutoff_scores,What happens if my PPT score is below 50.00% for Architecture?,9.1449
Are shifters required to take the Program Preparedness Test (PPT)?,"Yes, the procedure is applicable to new students, shifters, and transferees.","Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), shifters are not explicitly mentioned as being required to take the Program Preparedness Test (PPT) during the admission and enrollment process. Instead, they are required to go through a College Interview and Assessment, which includes an evaluation by the Program Chairperson and Enrolling Officer at the Dean's Office. This process is designed to ensure that shifters have the necessary knowledge and aptitude for their new program. If you have any further questions or need clarification on any aspect of the enrollment process, please don't hesitate to ask!","['vpaa_colleges_admission_enrollment_interview', 'srrms_enrollment_shifters_process', 'vpaa_colleges_cross_registration', 'srrms_subject_crediting_equivalency', 'vpaa_colleges_course_adjustments']",vpaa_colleges_admission_enrollment_interview,Are shifters required to take the Program Preparedness Test (PPT)?,4.3027
What is the 'Advisement Slip' in the enrollment process?,It is a document issued by the Program Chairperson after the interview phase of enrollment.,"The 'Advisement Slip' is an important document that students need to obtain during the enrollment process at EARIST. It is issued by the student's College after they have undergone a College Interview and Aptitude Testing, which is the first phase of the admission and enrollment process. The Advisement Slip serves as a recommendation from the College regarding the student's academic standing and the subjects they are allowed to enroll in. Once the student has this slip, they can proceed to the Enrollment Officer to have their subjects registered based on the advisement. This document is crucial in ensuring that students are enrolled in the appropriate subjects for their academic progress.","['vpaa_colleges_admission_enrollment_interview', 'srrms_enrollment_tcp_graduate_school', 'sas_guidance_initiated_counseling', 'sarms_registration_enrollment_list_procedures', 'srrms_enrollment_irregular_returnee_onsite']",vpaa_colleges_admission_enrollment_interview,What is the 'Advisement Slip' in the enrollment process?,4.4766
What is the GWA requirement for BS Criminology?,"A GWA of 90% is required, with no grade lower than 85%.","Based on my data from the Student Handbook 2021, the GWA requirement for BS Criminology under the College of Criminal Justice Education at EARIST is 90% with no grade lower than 85.","['admission_reqs_2025_business_arts_service_official', 'subject curriculum_earist_bscrim', 'admission_reqs_2025_tech_eng_design_official', 'glossary_definitions_part_2_abbreviations']",admission_reqs_2025_business_arts_service_official,What is the GWA requirement for BS Criminology?,3.8369
Where is the Office of Admission Services located?,It is located on the ground floor of the Apilado Building.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the Office of Admission Services is located on the ground floor of the Apilado Building at the EARIST Main Campus.","['earist_main_campus_office_directory_2025', 'sarms_office_location_layout_file_management', 'earist_campus_directory_office_locations', 'sarms_overview_mission_governance_functions', 'earist_chiefs_of_offices_contact_info']",earist_main_campus_office_directory_2025,Where is the Office of Admission Services located?,4.6536
What is the ECAT score transmutation formula?,EARISTCAT Rating = (Total Score x 50 / No. of Items) + 50.,"Based on my data from the Student Handbook 2021, the ECAT score transmutation formula is: EARISTCAT Rating = (Total Score x 50 / No. Of Items) + 50.","['earist_handbook_2021_screening_process_levels', 'sas_guidance_testing_ecat_administration', 'admission_services_screening_and_application', 'vpaa_colleges_admission_enrollment_interview', 'sarms_workflow_registration_to_encoding']",earist_handbook_2021_screening_process_levels,What is the ECAT score transmutation formula?,2.8842
,,,,,,
,,,,,,
How long does it take for ECAT results to be posted in Pinnacle?,"It takes 5 days for results to be summarized, forwarded, and posted.","Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), under the Guidance, Counseling, and Testing Services category, the ECAT results are posted in the Pinnacle system within 5 days after the testing is completed.","['sas_guidance_testing_ecat_administration', 'vpaa_colleges_admission_enrollment_interview', 'earist_handbook_2021_grading_system_rectification', 'srrms_final_evaluation_graduating_onsite', 'srrms_enrollment_irregular_returnee_onsite']",sas_guidance_testing_ecat_administration,How long does it take for ECAT results to be posted in Pinnacle?,3.1692
What documents do transferees need for admission?,"TOR or Certification of Grades, Good Moral Certificate, and a Transfer Credential/Honorable Dismissal.","Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), transferees need several documents for admission:

1. Their 'School ID'
2. An 'Official Receipt'
3. A 'Crediting Form'
4. An 'Original and Photocopy of TOR (Copy for EARIST)'
5. A 'Course Description' from their previous school

These documents are necessary to ensure that their prior learning is recognized and their academic progress is correctly mapped to their current EARIST curriculum.","['srrms_enrollment_shifters_process', 'srrms_subject_crediting_equivalency', 'vpaa_colleges_cross_registration', 'vpaa_colleges_admission_enrollment_interview', 'medical_dental_services_pre_enrollment_freshmen']",earist_handbook_2021_admission_policy_requirements,What documents do transferees need for admission?,3.9774
Who is the current Chief of Admission Services?,Mr. Ferdinand DP. Alvarro.,"Based on my data from the EARIST Directory / Website Update source, the current Chief of Admission Services is Mr. Ferdinand DP. Alvarro. You can reach him via email at fpalvaro@earist.edu.ph.","['earist_chiefs_of_offices_contact_info', 'sas_organizational_structure_2025', 'sarms_overview_mission_governance_functions', 'sarms_personnel_assignments_and_manpower', 'admission_services_screening_and_application']",sas_organizational_structure_2025,Who is the current Chief of Admission Services?,3.7049
,,,,,,
How long does the pre-enrollment health assessment take?,The entire process takes approximately 1 hour.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the pre-enrollment health assessment for incoming first-year students and transferees involves several steps. First, you need to obtain a Chest X-ray from a medical laboratory. Once you visit the EARIST Medical Clinic, a Nurse or Medical Officer will conduct a 20-minute interview and assessment. Afterward, there will be a 30-minute consultation where the officer reviews your X-ray results. If you are physically well, you will be issued a 'Fit to Enroll' form. However, if there are medical findings, you must provide an additional medical certificate from a specialist before the form is signed. The final step is the 10-minute registration in the logbook. The entire process takes approximately 1 hour.","['medical_dental_services_pre_enrollment_freshmen', 'sas_guidance_testing_ecat_administration', 'vpaa_colleges_admission_enrollment_interview', 'medical_dental_services_excuse_slip', 'medical_dental_services_ojt_medical_certificate']",medical_dental_services_pre_enrollment_freshmen,How long does the pre-enrollment health assessment take?,5.0812
"Can I apply for admission on a first-come, first-served basis?","Yes, admission is subject to the availability of resources like rooms and faculty.","Based on my data from the EARIST Citizen's Charter 2025 (1st Edition) and the Student Handbook 2021, the admission process at EARIST is not strictly on a first-come, first-served basis. Instead, applicants are evaluated based on their Program Preparedness Test (PPT) scores and other requirements. The specific cut-off scores for admission, waitlisting, and realignment across various colleges are outlined in the Student Handbook 2021 under Article I - Admission Policy.

For example, in the College of Business and Public Administration (CBPA), applicants need a GPA of 55.00% or better for admission. In the College of Arts and Sciences (CAS), applicants for BS Computer Science (BSCS) need a GPA of 75.00% or better for admission.

Therefore, it's essential to focus on preparing well for the PPT and meeting the other admission requirements to increase your chances of getting admitted to your desired program.

If you have any further questions or need clarification on any aspect of the admission process, please don't hesitate to ask. I'm here to help!

Additionally, if you're looking for the official Facebook pages of specific colleges, you can refer to the EARIST Admission Posters A.Y. 2025-2026 for the links.","['earist_handbook_2021_program_cutoff_scores', 'vpaa_colleges_cross_registration', 'vpaa_colleges_admission_enrollment_interview', 'admission_reqs_2025_business_arts_service_official', 'medical_dental_services_pre_enrollment_freshmen']",earist_handbook_2021_admission_policy_requirements,"Can I apply for admission on a first-come, first-served basis?",8.3407
What is the required score for BS Psychology admission?,A score of 77.00% or better is required.,"Based on my data from the EARIST Student Handbook 2021, the required score for BS Psychology admission in the College of Arts and Sciences at EARIST is 77.00% or better.","['earist_handbook_2021_program_cutoff_scores', 'admission_reqs_2025_business_arts_service_official', 'admission_reqs_2025_tech_eng_design_official', 'earist_handbook_2021_screening_process_levels', 'subject curriculum_earist_bs_psychology']",earist_handbook_2021_program_cutoff_scores,What is the required score for BS Psychology admission?,4.5683
How do I complete an 'Incomplete' (INC) grade?,"Secure a Completion Form from SRRMS, get the faculty signature, and have it validated by the Dean.","Based on my data from the Student Handbook 2021, to complete an 'Incomplete' (INC) grade, you must submit a SARRMS Form No. 006 within the next two semesters. If not completed within this period, the grade will automatically become ""5.0"" (Failed). Completion of INC grades is free of charge. If the faculty member is unavailable, the Area Chairperson may act on the grade with the Dean's approval.

To clarify, an 'Incomplete' grade is given when you are unable to complete the requirements of a course due to illness or uncontrollable reasons. To remove the INC grade and receive a final grade, you must complete the missing work within the specified timeframe.

If you have any further questions or need assistance with the process, please don't hesitate to ask. I'm here to help!

Additionally, if you have any questions related to the National Service Training Program (NSTP) or the Office of the Vice President for Academic Affairs, feel free to ask, and I'll guide you accordingly.","['vpaa_colleges_completion_of_grade', 'earist_handbook_2021_grading_system_rectification', 'glossary_definitions_part_1', 'nstp_issuance_certification_completion_nstp1', 'earist_handbook_2021_graduation_honors_ojt']",vpaa_colleges_completion_of_grade,How do I complete an 'Incomplete' (INC) grade?,6.9574
What is the deadline to complete an INC grade?,"It must be completed within the next two semesters; otherwise, it becomes a 5.0 (Failed).","Based on my data from the Student Handbook 2021, an ""INC"" grade must be completed within the next two semesters using SARRMS Form No. 006. If not completed within this period, the grade automatically becomes ""5.0"" (Failed). So, the deadline to complete an INC grade is two semesters from the semester it was earned.","['academic_calendar.pdf_0', 'glossary_definitions_part_1', 'glossary_definitions_part_2_abbreviations', 'vpaa_colleges_completion_of_grade', 'earist_handbook_2021_grading_system_rectification']",earist_handbook_2021_grading_system_rectification,What is the deadline to complete an INC grade?,4.672
How many units are required for a BS in Information Technology?,A total of 157 units are required.,"Based on my data from the EARIST subject curriculum for the Bachelor of Science in Information Technology (BSIT), the total number of units required for this degree program is 157. Therefore, you will need to complete all the courses outlined in the curriculum, which totals to 157 units. If you have any further questions or need clarification on specific courses, feel free to ask!","['subject curriculum_earist_bsit', 'subject curriculum_earist_bscs']",curriculum_earist_bsit,How many units are required for a BS in Information Technology?,6.5424
What is the process for shifting to another program?,"Obtain an APE and Shifter's Form from the Registrar, get signatures from both Deans, and update the curriculum at the Registrar.","Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), under the Student Registration and Records Management Services (SRRMS) category, I can guide you through the process of shifting to another program at EARIST.

First, you will need to obtain an 'Academic Program Evaluation' from the Registrar's Office, a 'Shifter's Form' also from the Registrar, and a 'Voluntary Opt-Out Form' from SRRMS if applicable.

Begin by visiting the College to obtain the Shifter's Form. The College Dean will provide guidance during this step (5 minutes). Ensure that the form is signed by both the previous and accepting Deans.

Next, submit the accomplished form to the Registrar’s Office, where Frontliners will verify signatures and update your program curriculum (5 minutes). Proceed to your new college, where the Enrollment Officer will assist you in subject selection based on the Academic Program Evaluation (2 hours). During this step, the officer will discuss the opt-out option and provide the form if chosen.

Your enrollment will then be validated, and the Certificate of Registration (COR) will be generated on your student portal. If fees are applicable, pay 40.00 at the Cashier (5 minutes). The final step is visiting the Registrar for ID validation, where a sticker will be affixed to your student ID (5 minutes).

The total turnaround time is approximately 2 hours and 20 minutes, subject to office volume and connectivity.

I hope this information helps you in your transition to a new program at EARIST. If you have any further questions, please don't hesitate to ask.","['srrms_subject_crediting_equivalency', 'srrms_enrollment_shifters_process', 'vpaa_colleges_cross_registration', 'vpaa_colleges_course_adjustments', 'earist_handbook_2021_transferees_pledge_readmission']",srrms_enrollment_shifters_process,What is the process for shifting to another program?,9.2805
Can I take subjects in other schools (Cross-Registration)?,"Yes, with recommendation from the College Dean and Program Chairperson.","Absolutely, I'd be happy to help answer your question about cross-registration at EARIST! Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), cross-registration is a process that allows students to take specific subjects in other colleges or schools within the institution. This is available to both old and new students, as well as transferees and shifters.

To initiate the process, you will need to prepare an Accomplished Application Form from the SRRMS, a Chairperson’s Evaluation from your Area Chairperson, and a Letter of Request recommending approval. The process involves obtaining recommending approval from your concerned College Dean and Program Chairperson at the Dean’s Office. The staff at the Dean’s Office will assist you in processing these concerns. This procedure is streamlined to be completed within 1 day, and no fees are required for this college-level recommendation.

However, it's important to note that there are certain conditions and limitations to cross-registration. For instance, the University explicitly does not allow sit-in or tutorial classes. Additionally, the SARMS Manual establishes protocols for handling special academic requests, including cross-registration. According to the manual, cross-registration is allowed only if the student is graduating, and the subject is not a major subject, is not offered at the University, or belongs to an old curriculum. The maximum allowance is six (6) units.

I hope this information is helpful! If you have any further questions or need clarification on any of the details, please don't hesitate to ask.","['vpaa_colleges_cross_registration', 'sarms_special_academic_requests_overload_cross_enrollment', 'srrms_subject_crediting_equivalency', 'srrms_cross_enrollment_procedure', 'srrms_enrollment_shifters_process']",vpaa_colleges_cross_registration,Can I take subjects in other schools (Cross-Registration)?,8.7115
What is the maximum unit limit for cross-registration?,The maximum limit is six (6) units.,"Based on my data from the EARIST Citizen's Charter 2025, the maximum unit limit for cross-registration is six (6) units. This means that a student can only register for a maximum of six units from another college or school. If you have any further questions or need clarification on this topic, please don't hesitate to ask!","['sarms_special_academic_requests_overload_cross_enrollment', 'vpaa_colleges_cross_registration', 'vpaa_colleges_excess_overload_units', 'earist_handbook_2021_scholarship_qualifications', 'srrms_cross_enrollment_procedure']",srrms_cross_enrollment_procedure,What is the maximum unit limit for cross-registration?,3.309
What is the prerequisite for Calculus 2 in the BSAP program?,The prerequisite for Calculus 2 (MATHANA2) is Calculus 1 (MATHANA1).,"Based on my data from the EARIST subject curriculum for the Bachelor of Science in Applied Physics under the College of Arts and Sciences, the prerequisite for taking Calculus 2 (MATHANA2) in the BSAP program is completing Calculus 1 (MATHANA1) first.","['subject curriculum_earist_bsap', 'subject curriculum_earist_bs_math']",curriculum_earist_bsap,What is the prerequisite for Calculus 2 in the BSAP program?,6.456
,,,,,,
What are the GPA requirements for Summa Cum Laude?,A cumulative GPA of 1.0000 to 1.2500.,"Based on my data from the Student Handbook 2021, to qualify for Summa Cum Laude honors, a student must have a cumulative grade point average (GPA) of 1.0000 to 1.2500.","['earist_handbook_2021_graduation_honors_ojt', 'earist_handbook_2021_program_cutoff_scores', 'glossary_definitions_part_1', 'earist_handbook_2021_grading_system_rectification', 'earist_handbook_2021_retention_tenure_scholastic_delinquency']",earist_handbook_2021_graduation_honors_ojt,What are the GPA requirements for Summa Cum Laude?,4.3118
How long is the OJT for BSBA Human Resource Management?,The HRM Practicum requires 600 hours.,"Based on my data from the EARIST subject curriculum for the Bachelor of Science in Business Administration (Major in Human Resource Management), the OJT (On-the-Job Training) requirement is 450 hours. However, it's essential to note that the curriculum doesn't specify the duration of the OJT in weeks or months. Therefore, the length of the OJT would depend on the number of hours per week the student works. To find out the exact duration, students should consult with their academic advisors or the Office of Student Affairs (OSAS).","['syllabus_ITINTERN', 'subject curriculum_earist_bsba_hrm', 'cbpa_faculty_staff_directory_complete', 'subject curriculum_earist_bsba_marketing']",curriculum_earist_bsba_hrm,How long is the OJT for BSBA Human Resource Management?,6.0583
What is the processing fee for a Certificate of Registration (COR) reprint?,The reprint fee is ₱20.00.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the processing fee for a Certificate of Registration (COR) reprint is ₱20.00. However, if you need a Certified True Copy (CTC) along with the reprint, the total cost would be ₱40.00.","['earist_registrar_document_procedures_2025', 'srrms_enrollment_shifters_process', 'financial_management_services_tes_grantees', 'srrms_enrollment_tcp_graduate_school', 'srrms_reissuance_school_id']",earist_registrar_document_procedures_2025,What is the processing fee for a Certificate of Registration (COR) reprint?,3.6992
,,,,,,
When must 'Withdrawal of Registration' be completed?,Within two (2) weeks from the first day of regular classes.,"Based on my data from the EARIST Citizen's Charter 2025 and the Student Handbook 2021, 'Withdrawal of Registration' must be completed within the first two weeks from the start of classes. This is important to ensure that your academic record accurately reflects your current enrollment status. If you have any further questions or need assistance with other procedures, please don't hesitate to ask! 😊","['srrms_withdrawal_dropping_undergraduate', 'srrms_withdrawal_dropping_graduate_school', 'srrms_enrollment_shifters_process', 'earist_handbook_2021_fees_refunds_financial_assistance', 'vpaa_colleges_course_adjustments']",srrms_withdrawal_dropping_undergraduate,When must 'Withdrawal of Registration' be completed?,3.7724
,,,,,,
How do I request a subject crediting for a transferee?,"Submit your TOR and Course Description to the Registrar, then have the Dean and Chairperson match the subjects.","Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), to request a subject crediting as a transferee, you need to follow these steps:

1. **Gather your documents:** Prepare the following documents: your EARIST Student ID, an Official Receipt, and a Crediting Form from SRRMS. Additionally, provide an Original and Photocopy of your Transcript of Records (TOR) from your previous school and the Course Description of the subjects you wish to credit.

2. **Submit your documents:** Bring your documents to the Registrar's Office. The Frontliner will open the sealed envelope containing your TOR and issue a payment slip.

3. **Pay the fee:** Pay 40.00 per copy at the Cashier.

4. **Obtain signatures:** Take the Crediting Form with the TOR attached to the College Chairperson and College Dean for their signatures and subject matching.

5. **Return the form:** Once signed, bring the form back to the Registrar’s Office. Evaluators will check the form and the Registrar will approve it for system entry.

6. **Receive your credited subjects:** One copy of the credited subjects will be released to you.

The entire process takes approximately 1 hour and 18 minutes to complete. If you have any questions or need further assistance, please don't hesitate to ask. Good luck with your subject crediting!","['srrms_subject_crediting_equivalency', 'vpaa_colleges_cross_registration', 'srrms_tor_automated_2011_present', 'vpaa_colleges_excess_overload_units', 'vpaa_colleges_admission_enrollment_interview']",srrms_subject_crediting_equivalency,How do I request a subject crediting for a transferee?,8.0225
What is the grading equivalent for 'Very Superior'?,A grade of 1.50 (91-93).,"Based on the information from the EARIST Student Handbook 2021, the grading equivalent for 'Very Superior' is 1.50.","['earist_handbook_2021_grading_system_rectification', 'glossary_definitions_part_1', 'glossary_definitions_part_2_abbreviations', 'earist_handbook_2021_graduation_honors_ojt', 'earist_handbook_2021_program_cutoff_scores']",earist_handbook_2021_grading_system_rectification,What is the grading equivalent for 'Very Superior'?,3.9669
What is the 'NC' grade in the grading system?,"'No Credit,' usually reserved for OJT, Thesis, or Special students.","The 'NC' grade in the EARIST grading system stands for ""No Credit."" It is given to students who do not pass a course, but it does not count towards their overall GPA. This grade is typically given to students who do not complete their On-the-Job Training (OJT), Thesis, or Special students.","['earist_handbook_2021_grading_system_rectification', 'glossary_definitions_part_1', 'earist_handbook_2021_graduation_honors_ojt', 'admission_reqs_2025_tech_eng_design_official', 'earist_handbook_2021_program_cutoff_scores']",earist_handbook_2021_grading_system_rectification,What is the 'NC' grade in the grading system?,3.9134
Can I overload units if I am a graduating student?,"Yes, graduating students may request an overload up to a maximum of 12 units.","Absolutely, graduating students at EARIST have the opportunity to take an excess or overload of subjects, up to a maximum of 12 units. To apply for this, you'll need to obtain an Accomplished Application Form and a Withdrawal/Changing/Adding Form from SRRMS, as well as an evaluation from your Area Chairperson. After that, submit a Letter of Request recommending approval by the concerned program chairperson to the College Dean’s Office. The Program Chairperson and College Dean will review your concern and academic standing to provide the necessary recommendation. This entire college-level approval process is completed within 1 day, and no fees are charged for this specific evaluation and approval.

However, it's important to note that overloading is strictly prohibited for delinquent students and Education students undergoing Practice Teaching. If you fail an overloaded subject, you cannot overload in the subsequent semester.

Additionally, if you're considering overloading, make sure to check the academic policies outlined in the Proposed Office of the Registrar Manual. These policies cover various special academic requests, including Cross-Enrollment, Waivers of Prerequisites, and Subject Substitution.

If you have any further questions or need clarification on any of these topics, please don't hesitate to ask!","['sarms_special_academic_requests_overload_cross_enrollment', 'vpaa_colleges_excess_overload_units', 'subject curriculum_earist_btled_he', 'earist_handbook_2021_scholarship_qualifications']",vpaa_colleges_excess_overload_units,Can I overload units if I am a graduating student?,8.6095
