Query ID,Question,Complexity Level,Query Type,Expected Answer (Ground Truth),Generated Response,Accuracy Score,Response Latency (Seconds),,,,,,Complexity Level,Mean Accuracy Score,Mean Latency (Seconds)
11,I failed my 'Intro to Programming' major. Can I just substitute it with 'Web Development 1'?,hard,scenario,"Generally, no. The rules state that no substitution is allowed for major courses you have failed. An exception can only be made if the College Dean evaluates the new course and determines it is 'substantially similar in scope and coverage' to the one you failed."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

Regarding your question about substituting 'Intro to Programming' with 'Web Development 1', I'm afraid it's not possible. The curriculum for the Bachelor of Science in Information Technology program at EARIST is designed to ensure that students have a strong foundation in programming concepts before moving on to more specialized courses like Web Development.

However, I understand that you may be interested in pursuing a different major or program that aligns with your interests. In that case, I would recommend checking with the Registrar's Office or your college's official Facebook page for more information on available majors and programs. They can provide you with guidance on how to transfer to a different program or major if that's something you're interested in.

If you have any other questions or concerns, please don't hesitate to ask. I'm here to help!",0.6,9.83,,,,,,,,
12,How many absences am I allowed before I get dropped from a class?,easy,direct,"If your absences exceed 20 percent of the total scheduled hours for a subject (like lectures or labs) in one semester, you will be automatically dropped from the class."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you have about our academic policies.

Based on the information provided in the Student Handbook 2021, the number of absences allowed before a student is dropped from a class depends on the subject and the student's status. For regular students, they are allowed up to 20% of the scheduled hours in a subject for the semester before they are dropped. For irregular students, the limit is 10% of the scheduled hours.

However, it's important to note that excused absences require an excuse slip from the College Dean or a medical certificate verified by the Institute Medical Officer. Three successive unexcused absences result in a report to the Prefect of Discipline.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!",0.9,9.04,,,,,,,,
13,How late can I be to class before I'm marked absent?,medium,paraphrased,"You are considered 'absent' if you are not present within the first 1/6th of the scheduled class time. For example, for a one-hour class, you'd be marked absent if you arrive after the first 10 minutes. If you arrive within those first 10 minutes, you are considered 'tardy'."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

Regarding your question about being late to class, the Student Handbook 2021 states that attendance is mandatory from the first class meeting. Absences are calculated based on class duration. A student is considered absent if they are not present within the first 1/6th of the scheduled time (e.g., after 30 minutes in a 3-hour class, or 10 minutes in a 1-hour class). Tardiness occurs if a student arrives within that first 1/6th fraction; three incidences of tardiness equal one absence.

If you're late to class, you may be marked absent. However, it's important to note that excused absences require an excuse slip from the College Dean or a medical certificate verified by the Institute Medical Officer. If you have a valid excuse, you can submit it to your teacher or the College Registrar to be marked as excused.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!",1,9.18,,,,,,,,
14,I've been late three times. Does that equal one absence?,easy,adversarial,"Yes, the rules state that three incidences of tardiness shall be considered as one absence from class."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

Regarding your question about tardiness, I'm afraid that three instances of tardiness do not equal one absence. Tardiness occurs when a student arrives within the first 1/6th fraction of the scheduled time. So, if you're late three times, it would still be considered three separate tardiness incidents.

It's important to note that attendance is mandatory from the first class meeting, and absences are calculated based on class duration. If you're absent for more than 20% of the scheduled hours in a subject for the semester, you will be automatically dropped from the class roll.

If you have any other questions or concerns, please don't hesitate to ask. I'm here to help!",0,7.82,,,,,,,,
15,I was sick and missed my midterms. What should I do to get an excused absence?,medium,scenario,"You can get an excused absence for illness by submitting a medical certificate. If the certificate is from an outside physician, it must be verified by the Institute's Medical Office. You must also get an excuse slip from your College Dean."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I understand that you missed your midterms due to sickness and are now looking for guidance on how to obtain an excused absence.

First, let's start with the basics. An excused absence is a leave of absence granted to a student who has missed classes due to reasons beyond their control, such as illness. To obtain an excused absence, you will need to follow a specific process outlined in the EARIST Citizen's Charter 2025.

Here are the steps you should take:

1. **Prepare the necessary documents:** You will need to prepare a 'Letter of Intent' with a Parent's or Guardian's signature, an 'EARIST School ID', and obtain an 'LOA Form' and 'Official Receipt'.
2. **Submit the Letter of Intent:** Present the Letter of Intent to the SRRMS Frontliners at the Registrar's Office. They will verify the documents and issue a payment slip.
3. **Pay the fee:** Go to the Cashier's Office to pay the fee of 80.00.
4. **Submit the completed LOA form:** Return to the Registrar's Office to submit the accomplished LOA form, the Official Receipt, and your ID.
5. **Finalize the leave status:** The Frontliners will receive your documents and finalize your leave status.

It's important to note that the duration of the leave of absence typically does not exceed one academic year. If you need a longer leave, you may need to discuss this with the appropriate authorities.

In terms of your missed midterms, you will need to make arrangements with your professors to catch up on any missed assignments or exams. They may require you to submit additional materials or complete extra work to demonstrate your understanding of the material.

I hope this information helps you navigate the process of obtaining an excused absence at EARIST. If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!",0,12.87,,,,,,,,
16,What's the minimum passing grade?,easy,direct,"The minimum passing grade is 3.00, which is equivalent to 75%."," Hello! I'm AmBOT, your friendly student assistant at EARIST. To answer your question, the minimum passing grade varies depending on the subject and program you are enrolled in. However, according to the EARIST Student Handbook 2021, the minimum passing grade is 2.00 for most subjects. For specific subjects and programs, the handbook provides detailed information on the minimum passing grade. If you could provide me with more details about the subject or program you are interested in, I would be happy to give you a more accurate answer. Is there anything else I can help you with?",0,7.81,,,,,,,,
17,I got a 2.50 in a subject. What does that mean?,easy,paraphrased,A grade of 2.50 is considered 'Satisfactory' and corresponds to a percentage equivalent of 79-81%.," Hello! I'm AmBOT, your friendly student assistant at EARIST. Let me help you understand your academic performance.

Based on the grading scale provided in the Student Handbook 2021, a 2.50 grade falls under the ""Very Superior"" category. This means that you have demonstrated an excellent academic performance in that subject. Keep up the good work!

If you have any more questions or need further clarification, please don't hesitate to ask. I'm here to help!",0,7.45,,,,,,,,
18,My prof gave me an INC last sem. How long do I have to fix it before it becomes a 5.0?,medium,scenario,"You must complete the requirements for an Incomplete (INC) grade within the next two (2) semesters. If you don't, the grade will automatically become a 5.0 (Failed).","I'm sorry, but I can't help you with that. I only answer student academic queries related to EARIST.",0,2.49,,,,,,,,
19,I passed my class with a 3.0 but I want to improve it. Can I retake the exam?,easy,adversarial,"No, the handbook states that a student who has received a passing grade in a course is not allowed to take another examination for the purpose of improving their grade."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

Regarding your question about retaking an exam to improve your grade, I'm afraid that it's not possible according to the policies outlined in the EARIST Student Handbook 2021. The handbook states that grades cannot be retaken to improve a passing grade.

However, you can still try to improve your grade by completing any incomplete grades within the next two semesters using SARRMS Form No. 006. If you're unable to complete the incomplete grades, the grade will automatically become ""5.0"" (Failed).

If you believe there was an error in the calculation or recording of your grade, you can submit a petition for rectification of the grade. The petition process involves submitting a ""Petition Form for Rectification of Grade"" along with an affidavit, class record, and report of grades. The petition will be reviewed by the Department Head, Dean, VP for Academic Affairs, and finally the Institute President.

It's important to note that late petitions will be handled by the Committee on Rectification of Grades, chaired by the Director of Instruction Services.

I hope this information helps! If you have any further questions, please don't hesitate to ask.",0.9,11.52,,,,,,,,
20,"My prof, who gave me an INC, is on leave and I can't contact him. How do I get my grade completed?",hard,scenario,"If the faculty member is on leave and unresponsive, the Area Chairperson is authorized to handle the removal of the Incomplete grade, with the approval of the Dean."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I understand that you're facing an issue with your incomplete grade (INC) and your professor is on leave. Don't worry, I'm here to help you navigate this situation.

First, let's make sure you have all the necessary documents ready. You'll need a 'Letter of Intent' with a Parent's or Guardian's signature, an 'EARIST School ID', and an 'LOA Form' and 'Official Receipt'. These documents will be used to initiate the process for an Application for Leave of Absence (LOA).

To start, you should present the Letter of Intent to the Student Registration and Records Management Services (SRRMS) Frontliners at the Registrar's Office. They will verify the documents and issue a payment slip. After paying the fee, you'll return to the Registrar's Office to submit the accomplished LOA form, the Official Receipt, and your ID. The Frontliners will then finalize the leave status.

The total processing time for this G2C transaction is 7 minutes. This ensures your slot and academic standing are preserved during your temporary absence from the institution.

If you have any questions or need further assistance, please don't hesitate to ask. I'm here to help you succeed at EARIST!",0,10.87,,,,,,,,
21,What happens if I fail 3 subjects in one semester?,medium,direct,"If you are an old student (not a senior), having failures in three (3) or more courses in one semester means you will not be readmitted for the following semester due to poor academic records."," I'm sorry to hear that you're struggling with your classes. Failing 3 subjects in one semester can be challenging, but it's important to remember that you have options available to you.

First, it's important to reach out to your professors and discuss your situation. They may be able to provide additional support or resources to help you improve your performance in those subjects. Additionally, you may want to consider seeking help from the Academic Support Center (ASC) on campus. They offer a variety of services, including tutoring, study skills workshops, and academic coaching, which can help you get back on track.

If you're still having difficulty, you may want to consider speaking with the Dean of your college or the Office of Student Affairs (OSAS). They can provide guidance on the next steps and discuss potential consequences, such as academic probation or suspension.

It's important to remember that failing 3 subjects in one semester doesn't necessarily mean the end of your academic journey at EARIST. With the right support and resources, you can overcome these challenges and continue working towards your goals.",0.5,10.15,,,,,,,,
22,My friend is on academic probation. How does he get out of it?,medium,paraphrased,"To lift the probation, the student must pass all of their subjects in the semester immediately following. Students on probation cannot fail or drop any subject and must not be involved in any disciplinary cases."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

First, let me clarify that academic probation is a status given to students whose behavior merits separation but are given a chance. To get out of academic probation, your friend needs to meet the requirements set by the institution.

The specific requirements for academic probation at EARIST are as follows:

1. For academic probation, your friend needs to pass all courses in the next semester.
2. If your friend fails one major course or two minor courses, they will be placed on academic probation.
3. If your friend fails more than two courses, they will be dismissed from the program.

It's important to note that academic probation is a serious situation, and your friend should take it seriously. They should work closely with their academic advisor to identify areas where they need improvement and develop a plan to improve their academic performance.

If your friend has any questions or concerns about academic probation or their academic performance, they should reach out to their academic advisor for guidance and support.

I hope this information helps! If you have any other questions, feel free to ask.",1,9.65,,,,,,,,
23,I'm a freshman and I failed 2 subjects in my first sem. Am I getting kicked out?,hard,scenario,"No. Freshmen who fail three (3) or more courses in their first semester are placed on probation for the second semester. Since you failed two, you will likely be given a warning by the College Dean and referred to counseling. Your academic load for the next semester might also be reduced."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I understand that you're a freshman and you've faced some challenges in your first semester. Failing two subjects can be concerning, but it doesn't necessarily mean you're getting kicked out.

According to the Student Handbook 2021, under Article I - Admission Policy, Section A (Screening Level 3), the College of Architecture and Fine Arts (CAFA), College of Arts and Sciences (CAS), College of Business (CBA/CBPA), College of Education (CED), College of Engineering (CEN), College of Hospitality and Tourism Management (CHTM), College of Industrial Technology (CIT), and College of Criminal Justice Education (CPAC / CCJE) all have specific cut-off scores for admission, waitlisting, and realignment across various colleges.

For CAFA, BS Architecture, BS Interior Design (BSID), and Bachelor of Fine Arts (BFA) all require 70.00% or better for Admission. Scores between 50.00% – 69.99% are Waitlisted. Scores lower than 50.00% are for Realignment.

For CAS, BS Applied Physics (BSAP) and BS Mathematics: 60.00% or better for Admission; 50.00% – 59.99% Waitlisted; lower than 50.00% Realignment.

For CAS, BS Computer Science (BSCS): 75.00% or better for Admission; 70.00% – 74.99% Waitlisted; lower than 70.00% Realignment.

For CAS, BS InfoTech: 75.00% or better for Admission; 70.00% – 74.99% Waitlisted; lower than 70.00% Realignment.

For CAS, BS Psychology: 77.00% or better for Admission; 73.00% – 76.99% Waitlisted; lower than 73.00% Realignment.

For CBA/CBPA, BSOA, BSBA, and BSEM all require 55.00% or better for Admission. Scores between 50.00% – 54.99% are Waitlisted. Scores lower than 50.00% are for Realignment.

For CED, BSEEd and BSSE: 80.00% or better for Admission; 50.00% – 79.99% Waitlisted; lower than 50.00% Realignment.

For CEN, BS Civil Engineering (BSCE), BS Chemical Engineering (BSChE), BS Computer Engineering (BSCoE), BS Electrical Engineering (BSEE), BS Mechanical Engineering (BSME), and BS Electronics Engineering (BSECE) all require 85.00% or better for Admission. Scores between 50.00% – 79.99% are Waitlisted. Scores lower than 50.00% are for Realignment.

For HTM, BS Tourism (BST) and BS Hospitality Management (BSHM): 70.00% or better for Admission; 50.00% – 69.99% Waitlisted; lower than 50.00% Realignment.

For CIT, BS Industrial Technology (BSIT): 50.00% or better for Admission; 45.00% – 49.99% Waitlisted; lower than 45.00% Realignment.

For CPAC / CCJE, BS Criminology and BPA: 75.00% or better for Admission; 65.00% – 74.99% Waitlisted; lower than 65.00% Realignment.

Please note that these cut-off scores are specific to each college. If you're in the College of Architecture and Fine Arts, for example, you need to maintain a 70.00% or better to avoid being placed on Realignment.

It's important to understand that failing two subjects doesn't necessarily mean you're getting kicked out. Each college has its own policies regarding academic performance and retention. You should consult the specific policy for your college to determine the next steps.

If you're unsure about your college's policy, I recommend reaching out to the Office of Student Affairs (OSAS) for guidance. They can provide you with the necessary information and support to help you navigate the situation.

Remember, it's important to communicate openly and honestly with your college's academic advisor and the OSAS team. They are there to help you understand the policies and find solutions that work best for your situation.

Stay warm and keep learning!",0.2,27.61,,,,,,,,
24,This is my third time taking the same subject. What happens if I fail it again?,medium,scenario,"According to the retention policies, students who fail (or withdraw from) the same course three times will be dropped from the roll."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

Based on the information provided in the EARIST Curriculum, if you fail the same subject for the third time, you will be placed on probation. Probation is a status for students whose behavior merits separation but are given a chance. It lasts for one semester, and if you pass all courses during this time, you will be lifted from probation. However, if you fail again, you will be non-readmitted, which means you will not be allowed to enroll in the next semester.

It's important to note that this policy applies to regular students, not working students or athletes scholars, who have different tenure and residency requirements. If you have any other questions or concerns, please don't hesitate to ask. I'm here to help!",0.5,9.63,,,,,,,,
25,"I failed 2 subjects, and I also have an INC. Does the INC count towards the 3-failure rule for dismissal?",hard,adversarial,"No, an 'Incomplete' (INC) grade is not included in the computations for scholastic delinquency. Only when (and if) it is replaced by a final grade, like a 5.0, will it be counted, and it will be included in the grades for the semester when the removal is made."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you may have about our policies and procedures.

Regarding your question, I'm afraid that an Incomplete Grade (INC) does not count towards the 3-failure rule for dismissal. However, it is important to note that you still need to pass all your subjects in the following semester to lift the probation status. If you are unable to do so, you may be placed on probation again, which could lead to dismissal.

It's always a good idea to maintain a good academic standing and communicate with your program chairperson and college dean to ensure that you are on track to graduate. If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!",1,7.71,,,,,,,,
26,What's the maximum time I can take for a leave of absence (LOA)?,medium,direct,"A leave of absence (LOA) should not normally exceed one academic year. While it can be extended, if your total leave goes beyond two (2) years, you will lose your residency status."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you may have about our policies.

Based on the information provided in the Student Handbook 2021, the maximum time for a Leave of Absence (LOA) is typically one academic year. However, it's important to note that the duration of the LOA may vary depending on the specific circumstances and the policies of your college or program.

If you're interested in taking a leave of absence, you'll need to follow the proper process outlined in the Student Handbook. This usually involves submitting an application form, providing supporting documents, and following up with the relevant offices. It's best to consult with your college or program's office for more detailed information on their specific LOA policies and procedures.

Remember, taking a leave of absence can affect your academic standing and your ability to graduate on time. It's important to carefully consider whether a leave of absence is the best option for your situation and to communicate effectively with your college or program to ensure a smooth process.

If you have any further questions or need additional guidance, please don't hesitate to ask. I'm here to help!",0.8,9.27,,,,,,,,
27,I'm in a 4-year degree program. What's the maximum number of years I'm allowed to stay in the college to finish it?,medium,scenario,"For a regular student, you should finish the program within the prescribed number of years (4 years). However, you are allowed a grace period of two semesters, or one year, to complete it. This means you have a total of 5 years."," Hello! I'm AmBOT, your helpful student assistant at EARIST.

Based on the information provided in the Student Handbook 2021, the maximum number of years you are allowed to stay in the college to finish a 4-year degree program is 5 years. However, if you are an athlete scholar, you may be allowed an additional year, making it a total of 6 years to complete your degree.

It's important to note that this is the maximum allowed time and you should aim to graduate within the prescribed years (4 or 5 years) to maintain your residency status. If you need more time, you can apply for a Leave of Absence (LOA) for non-academic/non-disciplinary reasons, but this should not exceed one academic year.

If you have any further questions or concerns, please don't hesitate to ask! I'm here to help.",1,8.86,,,,,,,,
28,I'm a working student in a 4-year course. Do I also have a 5-year maximum tenure like regular students?,hard,adversarial,"No, the policy for working students is different. You may finish your academic program within a period that is one and one-half (1.5) times the normal length of the program. For a 4-year program, that would be 6 years."," I'm sorry, I don't have that specific information in my current data. However, based on the provided text, it seems that working students are allowed a period equivalent to 1.5 times the normal length of the program. So, if you are a working student in a 4-year course, you would have a maximum of 6 years to complete your program, plus a 1-year grace period. Please refer to the Student Handbook 2021 for more detailed information on this policy. If you have any further questions or concerns, please don't hesitate to ask.",1,7.33,,,,,,,,
29,What's the GWA range to graduate Cum Laude?,easy,direct,"To graduate with Cum Laude honors, your cumulative grade point average must be between 1.7500 and 1.5001."," Hello! I'm AmBOT, your helpful student assistant at EARIST.

To graduate Cum Laude, you need to maintain a GWA (General Weighted Average) between 1.25 and 1.50. This means that your average grade across all your courses should fall within this range.

It's important to note that to be eligible for Cum Laude honors, you must also meet other requirements, such as completing at least 75% of your academic units at EARIST, maintaining a residence of at least three years prior to graduation, and having no final grade lower than 2.25 in any course.

If you have any more questions or need further assistance, please don't hesitate to ask! I'm here to help.",0,7.96,,,,,,,,
30,I'm a transferee. Can I still graduate with honors?,medium,scenario,"Yes, as long as you meet all the requirements. For transferees, this includes completing at least 75% of the total number of academic units required for graduation at EARIST and being in residence for at least three (3) years right before graduation."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you may have about your enrollment process.

As a transferee, you can still graduate with honors as long as you meet the required cumulative grade point averages (GPA) and other qualifications. To be eligible for honors, you must:

1. Carry the normal load prescribed in the curriculum.
2. Complete the program within the prescribed years (4 or 5 years).
3. Complete at least 75% of academic units at EARIST.
4. Maintain a residence of at least three years prior to graduation.
5. Have no final grade lower than 2.25 in any course (academic or non-academic).
6. Have no grades of Incomplete, Dropped, or 5.0 (Failed) in any course taken at EARIST or any other institution.
7. Have never repeated a course.

If you meet these criteria and maintain a high GPA, you can graduate with honors. Remember to keep track of your grades and ensure you're meeting the requirements for honors. If you have any questions or concerns, feel free to reach out to the Admissions Unit or the Registrar's Office for assistance.

Good luck with your enrollment process!",1,10.55,,,,,,,,
31,I'm aiming for Cum Laude and my GWA is 1.7. But I failed one subject in my first year. Am I still eligible?,medium,scenario,"No, you are not eligible. A requirement for graduating with honors is to have no final grades of 5.0 in any academic or non-academic course."," Hello! I'm AmBOT, your helpful student assistant at EARIST. I'm here to guide you through your academic policies and requirements.

Based on the information provided in the Student Handbook 2021, you are eligible to graduate with honors if you meet the following cumulative grade point averages (GPA):

* **Summa cum Laude:** 1.0000 to 1.2500
* **Magna cum Laude:** 1.2501 to 1.5000
* **Cum Laude:** 1.5001 to 1.7500

To qualify for honors, you must:

1. Carry the normal load prescribed in the curriculum.
2. Complete the program within the prescribed years (4 or 5 years).
3. Complete at least 75% of academic units at EARIST.
4. Maintain a residence of at least three years prior to graduation.
5. Have no final grade lower than 2.25 in any course (academic or non-academic).
6. Have no grades of Incomplete, Dropped, or 5.0 (Failed) in any course taken at EARIST or any other institution.
7. Have never repeated a course.

Since you have failed one subject in your first year, you may still be eligible for honors if you meet the other requirements. However, it's important to note that the failure of a subject may affect your overall GPA and your chances of achieving honors.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!",0.6,11.84,,,,,,,,
