ID,Question,Ground Truth,Ground Truth ID,Model Answer,Retrieved Chunks Used,Retrieved IDs,Retrieval Accuracy,Processing Time (s),Status
25,What is the required score for BS Psychology admission?,A score of 77.00% or better is required.,earist_handbook_2021_program_cutoff_scores," I'm happy to help! Based on the provided data, the required score for admission to the Bachelor of Science in Psychology program is 77.00% or better. If an applicant scores between 73.00% and 76.99%, they will be waitlisted. Scores lower than 73.00% will result in realignment.","[1] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
[2] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_business_arts_service_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has updated th...
[3] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_tech_eng_design_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has establishe...
[4] Student Handbook 2021 (ID: earist_handbook_2021_screening_process_levels): Under Article I Admission Policy, the EARIST Student Handbook 2021 mandates a three-level screening ...
[5] EARIST Curriculum June 2018 (ID: curriculum_earist_bs_psychology): Comprehensive curriculum for the Bachelor of Science in Psychology under the College of Arts and Sci...
","earist_handbook_2021_program_cutoff_scores, admission_reqs_2025_business_arts_service_official, admission_reqs_2025_tech_eng_design_official, earist_handbook_2021_screening_process_levels, curriculum_earist_bs_psychology",1,7.51,Success
26,How do I complete an 'Incomplete' (INC) grade?,"Secure a Completion Form from SRRMS, get the faculty signature, and have it validated by the Dean.",vpaa_colleges_completion_of_grade," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about completing an 'Incomplete' (INC) grade.

First, let me clarify that an 'Incomplete' grade is a temporary grade given when a student has not fulfilled certain requirements. To complete an INC grade, you will need to follow these steps:

1. **Submit the SARRMS Form No. 006:** The first step is to submit the SARRMS Form No. 006 to your faculty member. This form will help your faculty member track your progress and ensure that you have completed the necessary requirements to clear the INC grade.
2. **Complete the requirements:** Once your faculty member has reviewed your form, they will provide you with a list of requirements that you need to complete to clear the INC grade. These requirements may include attending additional classes, completing assignments, or taking exams.
3. **Submit the completed requirements:** After completing the requirements, you will need to submit them to your faculty member. They will review your submission and, if everything is in order, they will clear the INC grade on your academic record.

It's important to note that if your faculty member is unavailable, the Area Chairperson may act on the grade with the Dean's approval. Additionally, if you are unable to complete the requirements within the specified timeframe, the INC grade will automatically become a ""5.0"" (Failed) grade.

I hope this information helps you complete your 'Incomplete' grade. If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_completion_of_grade): Under the Office of the Vice President for Academic Affairs at EARIST, the 'Completion of Grade' pro...
[2] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[3] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: nstp_issuance_certification_completion_nstp1): At EARIST, the National Service Training Program (NSTP) office issues a Certification of Completion ...
[5] Student Handbook 2021 (ID: earist_handbook_2021_graduation_honors_ojt): Under Article II Academic Policies, the EARIST Student Handbook 2021 outlines the requirements for G...
","vpaa_colleges_completion_of_grade, earist_handbook_2021_grading_system_rectification, glossary_definitions_part_1, nstp_issuance_certification_completion_nstp1, earist_handbook_2021_graduation_honors_ojt",1,11.44,Success
27,What is the deadline to complete an INC grade?,"It must be completed within the next two semesters; otherwise, it becomes a 5.0 (Failed).",earist_handbook_2021_grading_system_rectification," Based on the provided context data from the Student Handbook 2021, the deadline to complete an INC grade is two semesters from the date it was assigned. If not completed within this period, the grade automatically becomes ""5.0"" (Failed). Completion of INC grades is free of charge. If the faculty member is unavailable, the Area Chairperson may act on the grade with the Dean's approval.","[1] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[2] Student Handbook 2021 (ID: glossary_definitions_part_2_abbreviations): Under the General Information section, this chunk continues the definition of terms and lists offici...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_completion_of_grade): Under the Office of the Vice President for Academic Affairs at EARIST, the 'Completion of Grade' pro...
[4] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[5] Student Handbook 2021 (ID: earist_handbook_2021_retention_tenure_scholastic_delinquency): Under Article II Academic Policies, the EARIST Student Handbook 2021 enforces strict Retention Polic...
","glossary_definitions_part_1, glossary_definitions_part_2_abbreviations, vpaa_colleges_completion_of_grade, earist_handbook_2021_grading_system_rectification, earist_handbook_2021_retention_tenure_scholastic_delinquency",1,6.62,Success
28,How many units are required for a BS in Information Technology?,A total of 157 units are required.,curriculum_earist_bsit," Hello! I'm AmBOT, your helpful student assistant at EARIST.

For a Bachelor of Science in Information Technology (BSIT), you need to complete 157 units. The program details are as follows:

**FIRST YEAR**

**First Semester (26 units)**
* FPROGLAB Computer Programming 1 (Fundamentals of Programming) Lab (1 unit)
* FPROGLEC Computer Programming 1 (Fundamentals of Programming) Lecture (2 units)
* GEARTAPP Art Appreciation (3 units)
* GEKOMFIL Kontekstwalisadong Komunikasyon sa Filipino (3 units)
* GEPEMOVE Movement Enhancement (2 units)
* GEPURPCO Purposive Communication (3 units)
* GEREADPH Readings in Philippine History (3 units)
* GEUNDETS Understanding the Self (3 units)
* INTCOMLB Introduction to Computing (Laboratory) (1 unit)
* INTCOMLC Introduction to Computing (Lecture) (2 units)
* NSTPROG1 National Service Training Program 1 (3 units)

**Second Semester (33 units)**
* DBMSLAB1 Database Management System 1 (Laboratory) (1 unit)
* DBMSLEC1 Database Management System 1 (Lecture) (2 units)
* DISCMATH Discrete Mathematics (3 units)
* GEFILDIS Filipino sa Iba't ibang Disiplina (3 units)
* GEMATHMW Mathematics in the Modern World (3 units)
* GEPANIPI Panitikan sa Pilipinas / Philippine Literature (3 units)
* GESCIETS Science, Technology and Society (3 units)
* IPROGLAB Computer Programming 2 (Intermediate Programming) Lab (1 unit)
* IPROGLEC Computer Programming 2 (Intermediate Programming) Lecture (2 units)
* NSTPROG2 National Service Training Program 2 (3 units)

**SECOND YEAR**

**First Semester (11 units)**
* BUSANALY Business Analytics (3 units)
* GEETHICS Ethics (3 units)
* GEPEHEF1 Physical Activity Towards Health and Fitness 1 (2 units)
* WEBDVLB1 Web Development 1 (Laboratory) (1 unit)
* WEBDVLC1 Web Development 1 (Lecture) (2 units)

**Second Semester (20 units)**
* DBMSLAB2 Database Management System 2 (Laboratory) (1 unit)
* DBMSLEC2 Database Management System 2 (Lecture) (2 units)
* GEELECCP Communicative Proficiency in Business Correspondence and Research Writing (3 units)
* GEPEHEF2 Physical Activity Towards Health and Fitness II (2 units)
* INTHCILB Introduction to Human Computer Interaction (Laboratory) (1 unit)
* INTHCILC Introduction to Human Computer Interaction (Lecture) (2 units)
* IPATLAB1 Integrative Programming and Technologies 1 (Laboratory) (2 units)
* IPATLEC1 Integrative Programming and Technologies 1 (Lecture) (1 unit)
* NETWKLB1 Networking 1 (Laboratory) (1 unit)
* NETWKLC1 Networking 1 (Lecture) (2 units)
* WEBDVLB2 Web Development 2 (Laboratory) (1 unit)
* WEBDVLC2 Web Development 2 (Lecture) (2 units)

**THIRD YEAR**

**First Semester (18 units)**
* APDEVLAB Application Development and Emerging Technology (Laboratory) (1 unit)
* APDEVLEC Application Development and Emerging Technology (Lecture) (2 units)
* GEELECDS Practical Data Science (3 units)
* MMDIALAB Multimedia (Laboratory) (2 units)
* MMDIALEC Multimedia (Lecture) (1 unit)
* NETWKLB2 Networking 2 (Laboratory) (1 unit)
* NETWKLC2 Networking 2 (Lecture) (2 units)
* SYSARCH1 Systems Integration and Architecture 1 (Lecture) (2 units)
* SYSARLB1 Systems Integration and Architecture 1 (Laboratory) (1 unit)
* WEBDVLB3 Web Development 3 (Laboratory) (1 unit)
* WEBDVLC3 Web Development 3 (Lecture) (2 units)

**Second Semester (21 units)**
* GEELECES Environmental Science (3 units)
* GELIFEWR The Life and Works of Rizal (3 units)
* IAASLAB1 Information Assurance and Security 1 (Laboratory) (1 unit)
* IAASLEC1 Information Assurance and Security 1 (Lecture) (2 units)
* ITTHESI1 Capstone Project and Research 1 (3 units)
* MOBAPLAB Mobile Application Development (iOS & Android) Laboratory (1 unit)
* MOBAPLEC Mobile Application Development (iOS & Android) Lecture (2 units)
* OOPRGLAB Object-Oriented Programming (Laboratory) (1 unit)
* OOPRGLEC Object-Oriented Programming (Lecture) (2 units)
* QUANMETH Quantitative Methods (including Modeling and Simulation) (3 units)

**FOURTH YEAR**

**First Semester (18 units)**
* GECONTWO The Contemporary World (3 units)
* IAASLAB2 Information Assurance and Security 2 (Laboratory) (1 unit)
* IAASLEC2 Information Assurance and Security 2 (Lecture) (2 units)
* ITTHESI2 Capstone Project and Research 2 (Lecture) (2 units)
* ITTHESL2 Capstone Project and Research 2 (Laboratory) (1 unit)
* SPISSUES Social and Professional Issues (3 units)
* SYSADMLB Systems Administration and Maintenance (Laboratory) (1 unit)
* SYSADMLC Systems Administration and Maintenance (Lecture) (2 units)
* SYSARCH2 Systems Integration and Architecture 2 (Lecture) (2 units)
* SYSARLB2 Systems Integration and Architecture 2 (Laboratory) (1 unit)

**Second Semester (10 units)**
* ITINTERN Practicum/Internship (10 units)

I hope this information helps! Let me know if you have any other questions.","[1] EARIST Curriculum June 2018 (ID: curriculum_earist_bsit): Comprehensive curriculum for the Bachelor of Science in Information Technology (BSIT) under the Coll...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bscs): Comprehensive curriculum for the Bachelor of Science in Computer Science (BSCS) under the College of...
","curriculum_earist_bsit, curriculum_earist_bscs",1,40.13,Success
29,What is the process for shifting to another program?,"Obtain an APE and Shifter's Form from the Registrar, get signatures from both Deans, and update the curriculum at the Registrar.",srrms_enrollment_shifters_process," Hello! I'd be happy to help you with that.

If you're interested in shifting to another program at EARIST, the process is called ""enrollment for shifters."" This is managed by the Student Registration and Records Management Services (SRRMS).

To begin, you'll need to obtain an 'Academic Program Evaluation' from the Registrar's Office, a 'Shifter's Form' also from the Registrar, and a 'Voluntary Opt-Out Form' from SRRMS if applicable. You can visit the College to obtain the Shifter's Form, where the College Dean provides guidance. The College Dean will sign the form, and you'll need to have it signed by both the previous and accepting Deans.

Next, you'll submit the accomplished form to the Registrar's Office, where Frontliners will verify signatures and update your program curriculum. After that, you'll proceed to your new college, where the Enrollment Officer will assist in subject selection based on the APE. During this step, the officer will discuss the opt-out option and provide the form if chosen. The enrollment will then be validated, and the Certificate of Registration (COR) will be generated on the student portal. If fees are applicable, you'll pay 40.00 at the Cashier. Finally, you'll visit the Registrar for ID validation, where a sticker will be affixed to your student ID.

The total turnaround time for this process is approximately 2 hours and 20 minutes, subject to office volume and connectivity.

If you have any questions or need further assistance, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_cross_registration): At EARIST, cross-registration allows students to take specific subjects in other colleges or schools...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_course_adjustments): The EARIST Colleges manage the approval process for students who need to modify their enrollment thr...
[5] Student Handbook 2021 (ID: earist_handbook_2021_transferees_pledge_readmission): Under Article I Admission Policy, specific guidelines govern the admission of transferees, the stude...
","srrms_subject_crediting_equivalency, srrms_enrollment_shifters_process, vpaa_colleges_cross_registration, vpaa_colleges_course_adjustments, earist_handbook_2021_transferees_pledge_readmission",1,11.06,Success
30,Can I take subjects in other schools (Cross-Registration)?,"Yes, with recommendation from the College Dean and Program Chairperson.",vpaa_colleges_cross_registration," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about cross-registration.

According to the EARIST Citizen's Charter 2025, cross-registration is allowed for students who want to take specific subjects in other colleges or schools. This is available to both old and new students, as well as transferees and shifters.

To take subjects in another college or school, you'll need to prepare an Accomplished Application Form from the SRRMS, a Chairperson's Evaluation from the Area Chairperson, and a Letter of Request recommending approval. You'll also need to obtain recommending approval from your concerned College Dean and Program Chairperson at the Dean's Office.

The process is streamlined to be completed within 1 day, and no fees are required for this college-level recommendation.

If you have any further questions or need more information, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_cross_registration): At EARIST, cross-registration allows students to take specific subjects in other colleges or schools...
[2] Proposed Office of the Registrar Manual (ID: sarms_special_academic_requests_overload_cross_enrollment): The SARMS Manual establishes protocols for handling special academic requests, including Cross-Enrol...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_cross_enrollment_procedure): The EARIST SRRMS manages the application for cross-enrollment, which is permitted when a specific co...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
","vpaa_colleges_cross_registration, sarms_special_academic_requests_overload_cross_enrollment, srrms_subject_crediting_equivalency, srrms_cross_enrollment_procedure, srrms_enrollment_shifters_process",1,8.34,Success
31,What is the maximum unit limit for cross-registration?,The maximum limit is six (6) units.,srrms_cross_enrollment_procedure," Based on the provided context, the maximum unit limit for cross-registration is six (6) units.","[1] Proposed Office of the Registrar Manual (ID: sarms_special_academic_requests_overload_cross_enrollment): The SARMS Manual establishes protocols for handling special academic requests, including Cross-Enrol...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_cross_registration): At EARIST, cross-registration allows students to take specific subjects in other colleges or schools...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_excess_overload_units): Graduating students at EARIST may request to take an excess or overload of subjects, up to a maximum...
[4] Student Handbook 2021 (ID: earist_handbook_2021_scholarship_qualifications): Under Article IV Scholarship and Financial Assistance, the EARIST Student Handbook 2021 details spec...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_cross_enrollment_procedure): The EARIST SRRMS manages the application for cross-enrollment, which is permitted when a specific co...
","sarms_special_academic_requests_overload_cross_enrollment, vpaa_colleges_cross_registration, vpaa_colleges_excess_overload_units, earist_handbook_2021_scholarship_qualifications, srrms_cross_enrollment_procedure",1,4.48,Success
32,What is the prerequisite for Calculus 2 in the BSAP program?,The prerequisite for Calculus 2 (MATHANA2) is Calculus 1 (MATHANA1).,curriculum_earist_bsap," I'm AmBOT, your helpful student assistant at EARIST.

Based on my data from the EARIST Curriculum June 2018, the prerequisite for Calculus 2 (MATHANA2) in the Bachelor of Science in Applied Physics (BSAP) program is Calculus 1 (MATHANA1).","[1] EARIST Curriculum June 2018 (ID: curriculum_earist_bsap): Comprehensive curriculum for the Bachelor of Science in Applied Physics (BSAP) under the College of ...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bs_math): Comprehensive curriculum for the Bachelor of Science in Mathematics under the College of Arts and Sc...
","curriculum_earist_bsap, curriculum_earist_bs_math",1,7.48,Success
33,How do I apply for a course adjustment (adding/dropping)?,Secure a 'Withdrawal/Changing/Adding Form' from SRRMS and submit it with chairperson approval to the Dean’s Office.,vpaa_colleges_course_adjustments," Hello! I'd be happy to help you with that.

To apply for a course adjustment (adding or dropping a course), you'll need to follow these steps:

1. Obtain a 'Withdrawal/Changing/Adding Form' from the SRRMS. You can get this form from the Registrar's Office.
2. Fill out the form with the necessary information, including the course you want to add or drop, the reason for the change, and any other required details.
3. Submit the form to the Dean's Office of the college where the course is offered.
4. Along with the form, you should also submit an Accomplished Application Form and the Chairperson's Evaluation.
5. In your letter of request, recommend approval from the program chairperson.
6. The college-level approval process will take 1 day.

Please note that there are no processing fees for these adjustments at the College Dean's Office.

If you have any questions or need further assistance, feel free to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_course_adjustments): The EARIST Colleges manage the approval process for students who need to modify their enrollment thr...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_excess_overload_units): Graduating students at EARIST may request to take an excess or overload of subjects, up to a maximum...
[3] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_withdrawal_dropping_graduate_school): Graduate students and those not covered by R.A. 10931 at EARIST follow a specific 'Complex' transact...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_withdrawal_dropping_undergraduate): At EARIST, undergraduate students wishing to discontinue their enrollment or drop specific subjects ...
","vpaa_colleges_course_adjustments, vpaa_colleges_excess_overload_units, earist_handbook_2021_grading_system_rectification, srrms_withdrawal_dropping_graduate_school, srrms_withdrawal_dropping_undergraduate",1,8.66,Success
34,What are the GPA requirements for Summa Cum Laude?,A cumulative GPA of 1.0000 to 1.2500.,earist_handbook_2021_graduation_honors_ojt," Based on the provided context from the Student Handbook 2021, the GPA requirements for Summa Cum Laude are between 1.0000 and 1.2500.","[1] Student Handbook 2021 (ID: earist_handbook_2021_graduation_honors_ojt): Under Article II Academic Policies, the EARIST Student Handbook 2021 outlines the requirements for G...
[2] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
[3] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[4] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[5] Student Handbook 2021 (ID: earist_handbook_2021_retention_tenure_scholastic_delinquency): Under Article II Academic Policies, the EARIST Student Handbook 2021 enforces strict Retention Polic...
","earist_handbook_2021_graduation_honors_ojt, earist_handbook_2021_program_cutoff_scores, glossary_definitions_part_1, earist_handbook_2021_grading_system_rectification, earist_handbook_2021_retention_tenure_scholastic_delinquency",1,6.51,Success
35,How long is the OJT for BSBA Human Resource Management?,The HRM Practicum requires 600 hours.,curriculum_earist_bsba_hrm," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

Regarding your question about the OJT for BSBA Human Resource Management, I checked the curriculum data and found that the OJT requirement is not specified for this program. However, I recommend checking the College of Business and Public Administration's official website or contacting their office directly for more information on the OJT requirements for this specific program.

If you have any other questions or need further assistance, please don't hesitate to ask! I'm here to help.","[1] OBTL Plan - Practicum/Internship (ID: syllabus_ITINTERN): ITINTERN - **Practicum/Internship** is a **1-unit** laboratory course with 3 hours per week, which r...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bsba_hrm): Comprehensive curriculum for the Bachelor of Science in Business Administration (Major in Human Reso...
[3] College of Business and Public Administration (CBPA) Faculty List  (ID: cbpa_faculty_staff_directory_complete): According to the provided faculty list for the College of Business and Public Administration (CBPA),...
[4] EARIST Curriculum June 2018 (ID: curriculum_earist_bsba_marketing): Comprehensive curriculum for the Bachelor of Science in Business Administration (Major in Marketing ...
","syllabus_ITINTERN, curriculum_earist_bsba_hrm, cbpa_faculty_staff_directory_complete, curriculum_earist_bsba_marketing",1,8.51,Success
36,What is the processing fee for a Certificate of Registration (COR) reprint?,The reprint fee is ₱20.00.,earist_registrar_document_procedures_2025," Hello! I'm AmBOT, your helpful student assistant at EARIST.

To answer your question, the processing fee for a Certificate of Registration (COR) reprint is 200.00. This fee is paid at the Cashier's Office after the student has submitted their Update Form, Receipt, and other requirements back to the SRRMS 'ID making in-charge'.

It's important to note that this fee is only applicable if the student's ID has been lost. If the ID has been damaged or needs personal data updates, the fee is 40.00.

If you have any further questions or need more information, please don't hesitate to ask. I'm here to help!","[1] Student Experience Guide (2025 Update) (ID: earist_registrar_document_procedures_2025): To obtain certified documents at EARIST Manila Campus, follow these specific procedures based on the...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: financial_management_services_tes_grantees): At EARIST, the Financial Management Services (FMS) manages the distribution of financial assistance ...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_tcp_graduate_school): Under the Student Registration and Records Management Services (SRRMS) at EARIST, the enrollment for...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_reissuance_school_id): For EARIST students requiring a new school ID due to damage, loss, or personal data updates (like a ...
","earist_registrar_document_procedures_2025, srrms_enrollment_shifters_process, financial_management_services_tes_grantees, srrms_enrollment_tcp_graduate_school, srrms_reissuance_school_id",1,7.42,Success
37,What is the total units for BS Civil Engineering?,The total units are 194.,curriculum_earist_bsce," I checked the curriculum for the Bachelor of Science in Civil Engineering under the College of Engineering at EARIST, and the total units required for the program is 194.","[1] EARIST Curriculum June 2018 (ID: curriculum_earist_bsce): Comprehensive curriculum for the Bachelor of Science in Civil Engineering under the College of Engin...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bsme): Comprehensive curriculum for the Bachelor of Science in Mechanical Engineering (BSME) under the Coll...
","curriculum_earist_bsce, curriculum_earist_bsme",1,6.52,Success
38,When must 'Withdrawal of Registration' be completed?,Within two (2) weeks from the first day of regular classes.,srrms_withdrawal_dropping_undergraduate,"I'm sorry, but I can't help you with that. I only answer student academic queries related to EARIST.",,,0,2.72,Success
39,When is the deadline for dropping a subject?,Before the scheduled Midterm Examination.,srrms_withdrawal_dropping_undergraduate,"I'm sorry, but I can't help you with that. I only answer student academic queries related to EARIST.",,,0,2.64,Success
40,How do I request a subject crediting for a transferee?,"Submit your TOR and Course Description to the Registrar, then have the Dean and Chairperson match the subjects.",srrms_subject_crediting_equivalency," Hello! I'd be happy to help you with that.

To request subject crediting for a transferee at EARIST, you'll need to follow these steps:

1. Obtain an Accomplished Application Form and a Withdrawal/Changing/Adding Form from SRRMS.
2. Submit a Letter of Request recommending approval by the concerned program chairperson to the College Dean's Office.
3. The Program Chairperson and College Dean will review your concern and academic standing to provide the necessary recommendation.

Please note that this entire college-level approval process is completed within 1 day. No fees are charged for this specific evaluation and approval.

If you have any questions or need further assistance, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_cross_registration): At EARIST, cross-registration allows students to take specific subjects in other colleges or schools...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_automated_2011_present): Under the EARIST SRRMS, students with a student number from 2011 to the present can request their Tr...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_excess_overload_units): Graduating students at EARIST may request to take an excess or overload of subjects, up to a maximum...
[5] Proposed Office of the Registrar Manual (ID: sarms_admissions_credential_evaluation_verification): According to the SARMS Manual, the Admissions Unit is responsible for processing new freshmen, trans...
","srrms_subject_crediting_equivalency, vpaa_colleges_cross_registration, srrms_tor_automated_2011_present, vpaa_colleges_excess_overload_units, sarms_admissions_credential_evaluation_verification",1,7.05,Success
41,What is the grading equivalent for 'Very Superior'?,A grade of 1.50 (91-93).,earist_handbook_2021_grading_system_rectification," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about the grading equivalent for 'Very Superior'.

According to the EARIST Student Handbook 2021, the grading equivalent for 'Very Superior' is 1.50. This means that if you receive a grade of 1.50, it indicates that your academic performance is very superior.

If you have any more questions or need further assistance, please don't hesitate to ask! I'm here to help.","[1] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[2] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[3] Student Handbook 2021 (ID: glossary_definitions_part_2_abbreviations): Under the General Information section, this chunk continues the definition of terms and lists offici...
[4] Student Handbook 2021 (ID: earist_handbook_2021_graduation_honors_ojt): Under Article II Academic Policies, the EARIST Student Handbook 2021 outlines the requirements for G...
[5] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
","earist_handbook_2021_grading_system_rectification, glossary_definitions_part_1, glossary_definitions_part_2_abbreviations, earist_handbook_2021_graduation_honors_ojt, earist_handbook_2021_program_cutoff_scores",1,7.89,Success
42,What is the 'NC' grade in the grading system?,"'No Credit,' usually reserved for OJT, Thesis, or Special students.",earist_handbook_2021_grading_system_rectification," Hello! I'm AmBOT, your helpful student assistant at EARIST.

The 'NC' grade in the grading system stands for 'No Credit.' It is reserved for OJT (On-the-Job Training), Thesis, or Special students.

If you have any more questions or need further assistance, please feel free to ask!","[1] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[2] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[3] Student Handbook 2021 (ID: earist_handbook_2021_graduation_honors_ojt): Under Article II Academic Policies, the EARIST Student Handbook 2021 outlines the requirements for G...
[4] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_tech_eng_design_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has establishe...
[5] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
","earist_handbook_2021_grading_system_rectification, glossary_definitions_part_1, earist_handbook_2021_graduation_honors_ojt, admission_reqs_2025_tech_eng_design_official, earist_handbook_2021_program_cutoff_scores",1,6.33,Success
43,Can I overload units if I am a graduating student?,"Yes, graduating students may request an overload up to a maximum of 12 units.",vpaa_colleges_excess_overload_units," Hello! I'm AmBOT, your helpful student assistant at EARIST.

Based on the information provided in the Student Handbook 2021, overloading is permitted for graduating students with a maximum limit of twenty-eight (28) units. However, it's important to note that overloading is strictly prohibited for delinquent students and Education students undergoing Practice Teaching. Additionally, a student who fails an overloaded subject cannot overload in the subsequent semester.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!","[1] Proposed Office of the Registrar Manual (ID: sarms_special_academic_requests_overload_cross_enrollment): The SARMS Manual establishes protocols for handling special academic requests, including Cross-Enrol...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_excess_overload_units): Graduating students at EARIST may request to take an excess or overload of subjects, up to a maximum...
[3] EARIST Curriculum (Undated in snippet) (ID: curriculum_earist_btled_he): Comprehensive curriculum for the Bachelor of Technology and Livelihood Education (Home Economics) un...
[4] Student Handbook 2021 (ID: earist_handbook_2021_scholarship_qualifications): Under Article IV Scholarship and Financial Assistance, the EARIST Student Handbook 2021 details spec...
","sarms_special_academic_requests_overload_cross_enrollment, vpaa_colleges_excess_overload_units, curriculum_earist_btled_he, earist_handbook_2021_scholarship_qualifications",1,7.58,Success
